-----  Network Simulator Version    2.3 -------- 

Enter the number of messages to simulate: Packet loss probability [enter number between 0.0 and 1.0]: Packet corruption probability [0.0 for no corruption]: Packet out-of-order probability [0.0 for no out-of-order]: Average time between messages from sender's layer5 [ > 0.0]: Enter Level of tracing desired: Do you want actions randomized: (1 = yes, 0 = no)? Do you want Bidirectional: (1 = yes, 0 = no)? Input parameters:
Number of Messages = 100  Lost Packet Prob. =   0.000
Corrupt Packet Prob. =   0.000  Out Of Order Prob. =   0.000
Ave. time between messages =  1000.00  Trace level = 0
Randomize = 0  Bi-directional = 0

A:    1080.0336,  Layer 5 to 4  Message = !fEVhy->Pbs'2J3m~2DU
B:    1088.3078,  Layer 4 to 5  Message = !fEVhy->Pbs'2J3m~2DU
A:    1204.7785,  Layer 5 to 4  Message = ##i.Qt9]!Eh-Ps8[~Dg,
B:    1223.5961,  Layer 4 to 5  Message = ##i.Qt9]!Eh-Ps8[~Dg,
A:    1653.7829,  Layer 5 to 4  Message = $X$d:oFzQ(]3h>sJ~U,a
B:    1677.5376,  Layer 4 to 5  Message = $X$d:oFzQ(]3h>sJ~U,a
A:    1835.7455,  Layer 5 to 4  Message = %kS%$jR:#iQ9!hP8~gO7
B:    1849.0348,  Layer 4 to 5  Message = %kS%$jR:#iQ9!hP8~gO7
A:    2371.0866,  Layer 5 to 4  Message = &}wq&e_XRLF?93-'~xrl
B:    2390.6989,  Layer 4 to 5  Message = &}wq&e_XRLF?93-'~xrl
A:    2409.3401,  Layer 5 to 4  Message = '2=IT'kv$x:FQ]hs~,7C
B:    2411.2992,  Layer 4 to 5  Message = '2=IT'kv$x:FQ]hs~,7C
A:    3967.4124,  Layer 5 to 4  Message = (Eb~=Z(6SpxLi(Eb~=Zw
B:    3996.5436,  Layer 4 to 5  Message = (Eb~=Z(6SpxLi(Eb~=Zw
A:    5695.2777,  Layer 5 to 4  Message = dW(V'U&)%S$R2Q!P~O}N
B:    5725.4583,  Layer 4 to 5  Message = dW(V'U&)%S$R2Q!P~O}N
A:    6789.8469,  Layer 5 to 4  Message = *jL.nP2r*6vX:z]>~aC%
B:    6808.5132,  Layer 4 to 5  Message = *jL.nP2r*6vX:z]>~aC%
A:    8601.9736,  Layer 5 to 4  Message = +fpdWK>2&+k_RF3-~rfY
B:    8609.1710,  Layer 4 to 5  Message = +fpdWK>2&+k_RF3-~rfY
